dates,co2_ppm
1958-12-31,315.4441666666667
1959-12-31,315.94541666666674
1960-12-31,316.8988679245283
1961-12-31,317.6340384615384
1962-12-31,318.5977083333333
1963-12-31,318.9536734693877
1964-12-31,318.61709677419356
1965-12-31,320.0334615384615
1966-12-31,321.36306122448974
1967-12-31,322.16880000000003
1968-12-31,323.0544230769231
1969-12-31,324.62076923076916
1970-12-31,325.6757692307692
1971-12-31,326.31634615384615
1972-12-31,327.46396226415084
1973-12-31,329.6813461538462
1974-12-31,330.2523076923077
1975-12-31,331.1428846153847
1976-12-31,332.1123529411765
1977-12-31,333.9075471698114
1978-12-31,335.53115384615387
1979-12-31,336.8644230769232
1980-12-31,338.6917307692308
1981-12-31,339.9107692307692
1982-12-31,341.11192307692306
1983-12-31,342.76867924528307
1984-12-31,344.23708333333326
1985-12-31,345.917450980392
1986-12-31,347.13480769230773
1987-12-31,348.93
1988-12-31,351.48245283018866
1989-12-31,352.9223076923077
1990-12-31,354.18999999999994
1991-12-31,355.60788461538465
1992-12-31,356.375
1993-12-31,357.0478846153847
1994-12-31,358.89528301886793
1995-12-31,360.89192307692304
1996-12-31,362.6500000000002
1997-12-31,363.77250000000004
1998-12-31,366.6234615384615
1999-12-31,368.2942307692308
2000-12-31,369.47773584905656
2001-12-31,371.0307692307692
2002-12-31,373.0821153846154
2003-12-31,375.6808163265307
2004-12-31,377.36250000000007
2005-12-31,379.5775510204081
2006-12-31,381.7971999999999
2007-12-31,383.602549019608
2008-12-31,385.4324999999999
2009-12-31,387.36326923076916
2010-12-31,389.87634615384627
2011-12-31,391.64943396226425
2012-12-31,394.00380000000007
2013-12-31,396.56076923076915
2014-12-31,398.6103846153846
2015-12-31,400.8778846153845
2016-12-31,404.27641509433965
2017-12-31,407.84100000000007
