dates,CO2
1958-12-31,315.3004807692307
1959-12-31,315.8790196078429
1960-12-31,316.8222569444445
1961-12-31,317.61999999999983
1962-12-31,318.69220640569387
1963-12-31,318.94874100719426
1964-12-31,318.62375886524825
1965-12-31,320.2260638297872
1966-12-31,321.59765799256496
1967-12-31,322.0138247011951
1968-12-31,322.7914516129033
1969-12-31,324.5488928571427
1970-12-31,325.8655849056604
1971-12-31,326.4479180887374
1972-12-31,327.51316923076894
1973-12-31,330.02322957198476
1974-12-31,330.3751132686082
1975-12-31,331.32819078947375
1976-12-31,332.0270038910505
1977-12-31,334.4940659340658
1978-12-31,335.5998555956676
1979-12-31,336.71918918918914
1980-12-31,338.70842281879203
1981-12-31,339.9680303030301
1982-12-31,341.0972607260724
1983-12-31,342.7841515151513
1984-12-31,344.39224409448815
1985-12-31,346.02010101010086
1986-12-31,347.0595622895621
1987-12-31,349.06003154574154
1988-12-31,351.5939811912224
1989-12-31,353.0373291925467
1990-12-31,354.4332797427655
1991-12-31,355.66726153846145
1992-12-31,356.4555400696863
1993-12-31,357.23328301886795
1994-12-31,358.8008080808081
1995-12-31,360.8361993769473
1996-12-31,362.77255474452534
1997-12-31,363.72632231404964
1998-12-31,366.56451724137924
1999-12-31,368.20334426229493
2000-12-31,369.5596515679443
2001-12-31,370.6896097560973
2002-12-31,373.1166141732285
2003-12-31,375.75310000000036
2004-12-31,377.31871710526326
2005-12-31,NaN
2006-12-31,NaN
