,year,month,day,RMM1,RMM2,phase,amplitude
0,1974,6,1,1.63447,1.2030399999999999,5,2.02948
1,1974,6,2,1.60289,1.01512,5,1.8972900000000001
2,1974,6,3,1.51625,1.08551,5,1.8647599999999998
3,1974,6,4,1.50981,1.0357299999999998,5,1.83092
4,1974,6,5,1.5590600000000001,1.30518,5,2.03326
5,1974,6,6,1.20626,1.62889,6,2.0269
6,1974,6,7,0.611101,1.72248,6,1.8276700000000001
7,1974,6,8,0.326395,1.7781799999999999,6,1.8078900000000002
8,1974,6,9,0.093828201,1.35694,6,1.36018
9,1974,6,10,-0.086126298,0.775476,7,0.7802439999999999
10,1974,6,11,0.111394,0.389534,6,0.405148
11,1974,6,12,0.12048900000000001,0.0138852,5,0.12128599999999999
12,1974,6,13,0.019280599,-0.21766999999999997,3,0.21851900000000002
13,1974,6,14,-0.10436,-0.38105,2,0.395082
14,1974,6,15,-0.18294000000000002,-0.64535,2,0.670775
15,1974,6,16,-0.23596,-0.47107,2,0.5268649999999999
16,1974,6,17,-0.49868999999999997,-0.48752,1,0.6974020000000001
17,1974,6,18,-0.5698,-0.36398,1,0.676134
18,1974,6,19,-0.69503,-0.35557,1,0.780705
19,1974,6,20,-0.72915,-0.47646000000000005,1,0.871015
20,1974,6,21,-1.09443,-0.83275,1,1.37523
21,1974,6,22,-1.09851,-0.83867,1,1.38206
22,1974,6,23,-1.06244,-0.50405,1,1.17594
23,1974,6,24,-0.88507,-0.32444,1,0.942658
24,1974,6,25,-0.76582,-0.33355,1,0.835304
25,1974,6,26,-0.83447,-0.41418,1,0.931607
26,1974,6,27,-0.8013,-0.35989,1,0.8784129999999999
27,1974,6,28,-0.56442,-0.29799000000000003,1,0.63825
28,1974,6,29,-0.097049698,-0.40189,2,0.41344200000000003
29,1974,6,30,0.0091487002,-0.24385,3,0.244017
30,1974,7,1,0.26055,0.087101303,5,0.27472399999999997
31,1974,7,2,0.267024,0.23012,5,0.352501
32,1974,7,3,0.355582,0.387155,6,0.5256689999999999
33,1974,7,4,0.844383,0.426138,5,0.9458209999999999
34,1974,7,5,1.12066,0.400394,5,1.19004
35,1974,7,6,1.07635,0.595407,5,1.23006
36,1974,7,7,0.812902,0.870444,6,1.191
37,1974,7,8,0.43173199999999995,1.08825,6,1.17076
38,1974,7,9,0.081015401,1.1705299999999998,6,1.17333
39,1974,7,10,-0.12074000000000001,1.12966,7,1.13609
40,1974,7,11,-0.27892,0.9985709999999999,7,1.0367899999999999
41,1974,7,12,-0.13957,0.702709,7,0.716435
42,1974,7,13,-0.20472,0.40228,7,0.45137299999999997
43,1974,7,14,-0.19937,0.11084100000000001,8,0.22811399999999998
44,1974,7,15,-0.095289797,-0.13185999999999998,2,0.162691
45,1974,7,16,-0.10830999999999999,-0.31318,2,0.331382
46,1974,7,17,-0.0056733699,-0.50315,2,0.5031800000000001
47,1974,7,18,0.17968800000000001,-0.44851,3,0.483167
48,1974,7,19,0.285321,-0.48165,3,0.559815
49,1974,7,20,0.330985,-0.90205,3,0.960857
50,1974,7,21,0.364833,-1.29166,3,1.34219
51,1974,7,22,0.34641900000000003,-1.20997,3,1.25858
52,1974,7,23,0.392806,-1.04746,3,1.11869
53,1974,7,24,0.44716999999999996,-0.8778299999999999,3,0.985167
54,1974,7,25,0.45279200000000003,-0.83619,3,0.9509129999999999
55,1974,7,26,0.556867,-0.80813,3,0.981416
56,1974,7,27,0.739834,-0.6000300000000001,4,0.952571
57,1974,7,28,0.665442,-0.42068,4,0.787262
58,1974,7,29,0.785449,-0.13224,4,0.796503
59,1974,7,30,1.13624,0.057481099,5,1.1377
60,1974,7,31,1.2519799999999999,0.662622,5,1.41652
61,1974,8,1,1.30887,0.964491,5,1.62585
62,1974,8,2,1.33118,1.27768,5,1.84513
63,1974,8,3,1.33971,1.39658,6,1.93527
64,1974,8,4,1.24842,1.59883,6,2.02849
65,1974,8,5,0.8358700000000001,1.6715,6,1.86884
66,1974,8,6,0.53585,1.7398900000000002,6,1.82053
67,1974,8,7,0.12356800000000001,1.77426,6,1.77856
68,1974,8,8,-0.14637,1.73052,7,1.7367
69,1974,8,9,-0.20364000000000002,1.43698,7,1.45134
70,1974,8,10,0.21716799999999997,1.28915,6,1.30731
71,1974,8,11,0.699759,0.9617549999999999,6,1.18939
72,1974,8,12,1.06369,0.655039,5,1.2492
73,1974,8,13,1.20518,0.48745299999999997,5,1.3000200000000002
74,1974,8,14,1.27891,0.492534,5,1.37048
75,1974,8,15,1.44282,0.498332,5,1.52645
76,1974,8,16,1.48221,0.185792,5,1.49381
77,1974,8,17,1.13067,0.061874699000000005,5,1.13237
78,1974,8,18,0.7869430000000001,-0.20013,4,0.811992
79,1974,8,19,0.432825,-0.32099,4,0.538862
80,1974,8,20,0.296468,-0.20140999999999998,4,0.35841300000000004
81,1974,8,21,0.358073,-0.17985,4,0.40070100000000003
82,1974,8,22,-0.076979503,-0.030315098999999998,1,0.08273360099999999
83,1974,8,23,-0.44893,0.025394,8,0.449643
84,1974,8,24,-0.60205,-0.0305738,1,0.6028279999999999
85,1974,8,25,-0.6528,0.09074310199999999,8,0.6590729999999999
86,1974,8,26,-0.41897,0.148205,8,0.44441400000000003
87,1974,8,27,-0.32314,-0.09149059699999999,1,0.33584
88,1974,8,28,-0.29386999999999996,-0.24602,1,0.383253
89,1974,8,29,-0.43109,-0.19288,1,0.47227399999999997
90,1974,8,30,-0.43665,-0.18707000000000001,1,0.47503100000000004
91,1974,8,31,-0.55283,-0.28943,1,0.624016
92,1974,9,1,-0.74307,-0.32226,1,0.809941
93,1974,9,2,-0.7570100000000001,-0.34913,1,0.8336389999999999
94,1974,9,3,-0.85425,-0.47043,1,0.9752209999999999
95,1974,9,4,-0.9462200000000001,-0.57048,1,1.10489
96,1974,9,5,-0.95005,-0.76164,1,1.21766
97,1974,9,6,-0.96431,-1.19541,2,1.53587
98,1974,9,7,-0.8286100000000001,-1.49167,2,1.7063599999999999
99,1974,9,8,-0.8084,-1.29056,2,1.52284
100,1974,9,9,-0.65212,-1.09195,2,1.27185
101,1974,9,10,-0.41313,-1.10617,2,1.18079
102,1974,9,11,-0.56989,-1.01692,2,1.16572
103,1974,9,12,-0.7249800000000001,-0.7690100000000001,2,1.05687
104,1974,9,13,-0.84693,-0.41613999999999995,1,0.9436389999999999
105,1974,9,14,-0.8763,-0.19989,1,0.898806
106,1974,9,15,-0.8084,-0.26515,1,0.850773
107,1974,9,16,-0.78055,-0.43065,1,0.8914719999999999
108,1974,9,17,-1.06102,-0.49926000000000004,1,1.17262
109,1974,9,18,-1.1999,-0.3435,1,1.2481
110,1974,9,19,-1.12629,-0.41894,1,1.2016799999999999
111,1974,9,20,-0.84606,-0.40851,1,0.939522
112,1974,9,21,-0.81789,-0.54576,1,0.983259
113,1974,9,22,-0.6741,-0.6326,1,0.924444
114,1974,9,23,-0.62136,-0.52232,1,0.8117300000000001
115,1974,9,24,-0.38978,-0.43151999999999996,2,0.581496
