Hourly Obs
Month/Year: 08/2015
Station Location: CHICAGO O'HARE INTERNATIONAL AIRPORT (94846)
Lat: 41.995
Lon: -87.933
Elev: 662 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
94846,20150801,0051,11,CLR, ,10.00, , , ,68, ,20.0, ,59, ,14.9, ,52, ,11.1, , 57, , 9, ,290, , , ,29.27, , , , , ,29.97, ,AA, , , ,29.99, 
94846,20150801,0151,11,CLR, ,10.00, , , ,67, ,19.4, ,59, ,15.0, ,53, ,11.7, , 61, , 8, ,280, , , ,29.26, , , , , ,29.96, ,AA, , , ,29.98, 
94846,20150801,0251,11,CLR, ,10.00, , , ,66, ,18.9, ,59, ,14.7, ,53, ,11.7, , 63, , 7, ,280, , , ,29.26, , , , , ,29.97, ,AA, , , ,29.98, 
94846,20150801,0351,11,CLR, ,10.00, , , ,65, ,18.3, ,58, ,14.5, ,53, ,11.7, , 65, , 7, ,280, , , ,29.26, , , , , ,29.97, ,AA, , , ,29.98, 
94846,20150801,0451,11,CLR, ,10.00, , , ,64, ,17.8, ,58, ,14.3, ,53, ,11.7, , 68, , 8, ,280, , , ,29.26, , , , , ,29.97, ,AA, , , ,29.98, 
94846,20150801,0551,11,CLR, ,10.00, , , ,66, ,18.9, ,60, ,15.3, ,55, ,12.8, , 68, , 7, ,270, , , ,29.27, , , , , ,29.97, ,AA, , , ,29.99, 
94846,20150801,0651,11,FEW100, ,10.00, , , ,70, ,21.1, ,62, ,16.5, ,56, ,13.3, , 61, , 7, ,260, , , ,29.27, , , , , ,29.97, ,AA, , , ,29.99, 
94846,20150801,0751,11,FEW070 FEW100, ,10.00, , , ,75, ,23.9, ,64, ,17.8, ,57, ,13.9, , 54, , 8, ,260, , , ,29.27, , , , , ,29.98, ,AA, , , ,29.99, 
94846,20150801,0851,11,SCT090 SCT150, ,10.00, , , ,78, ,25.6, ,65, ,18.4, ,57, ,13.9, , 49, ,11, ,300, , , ,29.26, , , , , ,29.96, ,AA, , , ,29.98, 
94846,20150801,0951,11,SCT095 SCT150, ,10.00, , , ,80, ,26.7, ,65, ,18.5, ,56, ,13.3, , 44, ,14, ,270, , , ,29.27, , , , , ,29.97, ,AA, , , ,29.99, 
94846,20150801,1051,11,SCT080 SCT150, ,10.00, , , ,82, ,27.8, ,65, ,18.6, ,55, ,12.8, , 40, ,11, ,310, , , ,29.26, , , , , ,29.97, ,AA, , , ,29.98, 
94846,20150801,1151,11,FEW060 FEW090 SCT130, ,10.00, , , ,83, ,28.3, ,66, ,18.7, ,55, ,12.8, , 38, ,14, ,280, , , ,29.25, , , , , ,29.95, ,AA, , , ,29.97, 
94846,20150801,1251,11,SCT060 SCT090 SCT130, ,10.00, , , ,86, ,30.0, ,67, ,19.6, ,56, ,13.3, , 36, ,16, ,280, ,23, ,29.22, , , , , ,29.92, ,AA, , , ,29.94, 
94846,20150801,1351,11,SCT065 SCT250, ,10.00, , , ,86, ,30.0, ,67, ,19.6, ,56, ,13.3, , 36, ,16, ,290, ,22, ,29.21, , , , , ,29.91, ,AA, , , ,29.93, 
94846,20150801,1451,11,BKN070 BKN250, ,10.00, , , ,85, ,29.4, ,68, ,19.9, ,58, ,14.4, , 40, ,16, ,270, ,24, ,29.20, , , , , ,29.91, ,AA, , , ,29.92, 
94846,20150801,1551,11,SCT065 BKN250, ,10.00, , , ,85, ,29.4, ,68, ,20.2, ,59, ,15.0, , 41, ,14, ,250, ,24, ,29.19, , , , , ,29.89, ,AA, , , ,29.91, 
