,dates,Date,HourlyPrecip,AltimeterFlag,RelativeHumidityFlag,WetBulbCelsius,SeaLevelPressureFlag,Altimeter,ValueForWindCharacterFlag,HourlyPrecipFlag,SkyConditionFlag,DewPointFarenheitFlag,DewPointFarenheit,DewPointCelsiusFlag,RecordType,dates.1,DryBulbCelsiusFlag,WetBulbFarenheitFlag,SkyCondition,WindDirectionFlag,PressureChangeFlag,RelativeHumidity,SeaLevelPressure,RecordTypeFlag,DewPointCelsius,Time,PressureTendencyFlag,StationPressure,WeatherType,WBAN,WindDirection,WeatherTypeFlag,sethour,VisibilityFlag,WindSpeed,DryBulbFarenheit,ValueForWindCharacter,DryBulbFarenheitFlag,Visibility,DryBulbCelsius,PressureTendency,StationType,StationPressureFlag,WindSpeedFlag,WetBulbFarenheit,PressureChange,WetBulbCelsiusFlag
0,2015-08-01,20150801, , , ,14.9, ,29.99, , , , ,52, ,AA,2015-08-01, , ,CLR, , ,57,29.97, ,11.1,0, ,29.27, ,94846,290, ,0, ,9,68, , ,10.0,20.0, ,11, , ,59, , 
1,2015-08-02,20150802, , , ,19.9, ,29.88, , , , ,65, ,AA,2015-08-02, , ,SCT130, , ,76,29.87, ,18.3,0, ,29.16, ,94846,250, ,0, ,9,73, , ,10.0,22.8, ,11, , ,68, , 
2,2015-08-03,20150803, , , ,19.2, ,29.75, , , , ,66, ,AA,2015-08-03, , ,SCT080 BKN100 BKN250, , ,93,29.73, ,18.9,0, ,29.03, ,94846,260, ,0, ,5,68, , ,10.0,20.0, ,11, , ,67, , 
3,2015-08-04,20150804, , , ,15.4, ,29.91, , , , ,56, ,AA,2015-08-04, , ,CLR, , ,73,29.89, ,13.3,0, ,29.19, ,94846,280, ,0, ,6,65, , ,10.0,18.3, ,11, , ,60, , 
4,2015-08-05,20150805, , , ,16.0, ,30.03, , , , ,58, ,AA,2015-08-05, , ,FEW250, , ,78,30.01, ,14.4,0, ,29.31, ,94846,0, ,0, ,0,65, , ,10.0,18.3, ,11, , ,61, , 
5,2015-08-06,20150806, , , ,18.2, ,29.98, , , , ,63, ,AA,2015-08-06, , ,BKN300, , ,84,29.96, ,17.2,0, ,29.26, ,94846,30, ,0, ,5,68, , ,10.0,20.0, ,11, , ,65, , 
6,2015-08-07,20150807, , , ,17.5, ,29.93, , , , ,62, ,AA,2015-08-07, , ,SCT150 BKN250, , ,87,29.92, ,16.7,0, ,29.21, ,94846,0, ,0, ,0,66, , ,10.0,18.9, ,11, , ,64, , 
7,2015-08-08,20150808, , , ,18.4, ,29.84, , , , ,61, ,AA,2015-08-08, , ,FEW040 FEW060, , ,68,29.82, ,16.1,0, ,29.12, ,94846,200, ,0, ,8,72, , ,10.0,22.2, ,11, , ,65, , 
8,2015-08-09,20150809, , , ,19.4, ,29.97, , , , ,66, ,SP,2015-08-09, , ,BKN008 BKN140, , ,90,M, ,18.9,0, ,29.25, ,94846,0, ,0, ,0,69, , ,7.0,20.6, ,11, , ,67, , 
9,2015-08-09,20150809, , , ,19.2, ,29.97, , , , ,66, ,AA,2015-08-09, , ,BKN008 BKN140, , ,93,29.96, ,18.9,0, ,29.25,BR,94846,0, ,0, ,0,68, , ,6.0,20.0, ,11, , ,67, , 
