dates,WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag,sethour,dates,just_dates
2015-08-01 18:00:00,94846,20150801,18,11,SCT055 BKN250, ,10.0, , , ,81, ,27.2, ,68, ,20.1, ,61, ,16.1, ,51, ,13, ,250, , , ,29.17, , , , , ,29.87, ,AA, , , ,29.89, ,18,2015-08-01 18:00:00,2015-08-01
2015-08-02 18:00:00,94846,20150802,18,11,FEW045 SCT150 BKN250, ,10.0, , , ,86, ,30.0, ,76, ,24.1, ,71, ,21.7, ,61, ,18, ,240, ,31, ,28.95, , , , , ,29.64, ,AA, , , ,29.66, ,18,2015-08-02 18:00:00,2015-08-02
2015-08-03 18:00:00,94846,20150803,18,11,FEW070, ,10.0, , , ,76, ,24.4, ,61, ,16.1, ,50, ,10.0, ,40, ,10, ,300, , , ,29.14, , , , , ,29.85, ,AA, , , ,29.86, ,18,2015-08-03 18:00:00,2015-08-03
2015-08-04 18:00:00,94846,20150804,18,11,FEW065 FEW210 BKN250, ,10.0, , , ,75, ,23.9, ,62, ,16.4, ,52, ,11.1, ,45, ,7, ,350, , , ,29.25, , , , , ,29.96, ,AA, , , ,29.97, ,18,2015-08-04 18:00:00,2015-08-04
2015-08-05 18:00:00,94846,20150805,18,11,FEW200 OVC250, ,10.0, , , ,74, ,23.3, ,63, ,17.3, ,56, ,13.3, ,54, ,9, ,080, , , ,29.28, , , , , ,29.99, ,AA, , , ,30.0, ,18,2015-08-05 18:00:00,2015-08-05
2015-08-06 18:00:00,94846,20150806,18,11,FEW050 FEW250, ,10.0, , , ,74, ,23.3, ,65, ,18.5, ,60, ,15.6, ,62, ,10, ,040, , , ,29.19, , , , , ,29.90, ,AA, , , ,29.91, ,18,2015-08-06 18:00:00,2015-08-06
2015-08-07 18:00:00,94846,20150807,18,11,SCT050 BKN130 BKN250, ,10.0, , , ,78, ,25.6, ,66, ,18.9, ,59, ,15.0, ,52, ,7, ,210, , , ,29.13, , , , , ,29.83, ,AA, , , ,29.85, ,18,2015-08-07 18:00:00,2015-08-07
2015-08-08 18:00:00,94846,20150808,18,11,FEW035 SCT150 BKN250, ,10.0, , , ,72, ,22.2, ,68, ,20.0, ,66, ,18.9, ,82, ,7, ,050, , , ,29.23, , , , , ,29.93, ,AA, , , ,29.95, ,18,2015-08-08 18:00:00,2015-08-08
2015-08-09 18:00:00,94846,20150809,18,11,BKN035 OVC065, ,10.0, , , ,76, ,24.4, ,69, ,20.8, ,66, ,18.9, ,71, ,6, ,180, , , ,29.2, , , , , ,29.91, ,AA, , , ,29.92, ,18,2015-08-09 18:00:00,2015-08-09
2015-08-10 18:00:00,94846,20150810,18,11,FEW120 FEW250, ,10.0, , , ,75, ,23.9, ,69, ,20.3, ,65, ,18.3, ,71, ,9, ,360, , , ,29.15, , , , , ,29.86, ,AA, , , ,29.87, ,18,2015-08-10 18:00:00,2015-08-10
