#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2016-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid, tmpf ,  dwpf ,  drct ,  sknt ,  p01m ,  presentwx
CMI,2016-01-01 00:38,26.96,19.94,260.00,8.00,0.00,M
CMI,2016-01-01 00:53,26.06,19.94,250.00,7.00,0.00,M
CMI,2016-01-01 01:53,26.06,21.02,220.00,6.00,0.00,M
CMI,2016-01-01 02:53,26.96,21.92,210.00,8.00,0.00,M
CMI,2016-01-01 03:14,26.96,23.00,210.00,9.00,0.00,M
CMI,2016-01-01 03:32,26.96,23.00,210.00,10.00,0.00,M
CMI,2016-01-01 03:53,26.96,23.00,220.00,8.00,0.00,M
CMI,2016-01-01 04:53,26.96,23.00,220.00,9.00,0.00,M
CMI,2016-01-01 05:53,26.06,24.08,230.00,10.00,0.00,M
CMI,2016-01-01 06:53,26.06,21.92,230.00,9.00,0.00,M
CMI,2016-01-01 07:53,26.06,21.02,240.00,7.00,0.00,M
CMI,2016-01-01 08:53,24.98,19.94,250.00,9.00,0.00,M
CMI,2016-01-01 09:53,24.98,19.94,250.00,9.00,0.00,M
CMI,2016-01-01 10:53,24.08,19.04,260.00,11.00,0.00,M
CMI,2016-01-01 11:53,24.08,19.04,270.00,12.00,0.00,M
CMI,2016-01-01 12:05,24.08,19.04,260.00,11.00,0.00,M
CMI,2016-01-01 12:35,23.00,17.96,270.00,11.00,0.00,M
CMI,2016-01-01 12:53,23.00,17.96,260.00,10.00,0.00,M
CMI,2016-01-01 13:38,24.08,19.04,260.00,9.00,0.00,M
CMI,2016-01-01 13:53,24.08,19.04,260.00,11.00,0.00,M
CMI,2016-01-01 14:53,24.98,19.04,270.00,16.00,0.00,M
CMI,2016-01-01 15:53,24.98,17.96,270.00,16.00,0.00,M
CMI,2016-01-01 16:53,26.96,19.94,260.00,13.00,0.00,M
CMI,2016-01-01 17:53,28.04,21.02,260.00,16.00,0.00,M
CMI,2016-01-01 18:53,26.96,21.02,260.00,17.00,0.00,M
CMI,2016-01-01 19:53,28.04,21.02,260.00,16.00,0.00,M
CMI,2016-01-01 20:53,30.02,21.92,260.00,14.00,0.00,M
CMI,2016-01-01 21:19,28.94,21.92,250.00,16.00,0.00,M
CMI,2016-01-01 21:53,28.94,23.00,250.00,15.00,0.00,M
CMI,2016-01-01 22:53,28.94,24.08,240.00,9.00,0.00,M
CMI,2016-01-01 23:53,28.94,24.08,220.00,11.00,0.00,M
CMI,2016-01-02 00:53,28.04,24.08,220.00,9.00,0.00,M
CMI,2016-01-02 01:53,30.02,24.98,210.00,15.00,0.00,M
CMI,2016-01-02 02:53,30.92,26.06,230.00,15.00,0.00,M
CMI,2016-01-02 03:53,30.92,24.98,230.00,15.00,0.00,M
CMI,2016-01-02 04:53,30.02,24.98,220.00,13.00,0.00,M
CMI,2016-01-02 05:53,28.94,24.08,230.00,11.00,0.00,M
CMI,2016-01-02 06:53,28.04,21.92,230.00,10.00,0.00,M
CMI,2016-01-02 07:53,26.96,21.92,240.00,9.00,0.00,M
CMI,2016-01-02 08:53,26.96,21.02,250.00,10.00,0.00,M
CMI,2016-01-02 09:53,26.96,21.02,250.00,9.00,0.00,M
CMI,2016-01-02 10:53,24.98,19.94,260.00,8.00,0.00,M
CMI,2016-01-02 11:53,24.08,19.04,260.00,8.00,0.00,M
CMI,2016-01-02 12:53,21.02,17.06,270.00,5.00,0.00,M
CMI,2016-01-02 13:53,24.08,19.04,260.00,6.00,0.00,M
CMI,2016-01-02 14:53,26.96,23.00,240.00,8.00,0.00,M
CMI,2016-01-02 15:53,30.02,24.08,250.00,12.00,0.00,M
CMI,2016-01-02 16:53,32.00,24.08,250.00,12.00,0.00,M
CMI,2016-01-02 17:53,33.08,24.08,250.00,14.00,0.00,M
CMI,2016-01-02 18:53,35.06,24.98,250.00,15.00,0.00,M
CMI,2016-01-02 19:53,35.96,26.06,250.00,12.00,0.00,M
CMI,2016-01-02 20:53,35.96,26.96,230.00,12.00,0.00,M
CMI,2016-01-02 21:53,35.06,28.04,220.00,11.00,0.00,M
CMI,2016-01-02 22:53,33.08,28.04,220.00,11.00,0.00,M
CMI,2016-01-02 23:53,32.00,28.04,220.00,10.00,0.00,M
CMI,2016-01-03 00:53,32.00,26.96,230.00,11.00,0.00,M
CMI,2016-01-03 01:53,32.00,26.96,220.00,11.00,0.00,M
CMI,2016-01-03 02:53,30.92,26.06,240.00,10.00,0.00,M
CMI,2016-01-03 03:53,30.02,26.06,240.00,11.00,0.00,M
CMI,2016-01-03 04:53,30.92,24.98,260.00,11.00,0.00,M
CMI,2016-01-03 05:53,30.02,24.98,260.00,12.00,0.00,M
CMI,2016-01-03 06:53,28.94,24.08,270.00,11.00,0.00,M
CMI,2016-01-03 07:53,28.04,23.00,270.00,9.00,0.00,M
CMI,2016-01-03 08:53,28.04,21.92,270.00,11.00,0.00,M
CMI,2016-01-03 09:53,26.06,21.02,270.00,8.00,0.00,M
CMI,2016-01-03 10:53,24.98,19.94,290.00,7.00,0.00,M
CMI,2016-01-03 11:53,24.08,19.04,300.00,6.00,0.00,M
CMI,2016-01-03 12:53,24.08,17.96,310.00,8.00,0.00,M
CMI,2016-01-03 13:53,24.08,19.04,310.00,6.00,0.00,M
CMI,2016-01-03 14:53,26.06,19.94,330.00,10.00,0.00,M
CMI,2016-01-03 15:53,28.94,21.02,340.00,9.00,0.00,M
CMI,2016-01-03 16:53,30.92,21.92,340.00,9.00,0.00,M
CMI,2016-01-03 17:53,33.08,23.00,350.00,9.00,0.00,M
CMI,2016-01-03 18:09,33.08,23.00,350.00,9.00,0.00,M
CMI,2016-01-03 18:17,33.08,24.08,350.00,8.00,0.00,M
CMI,2016-01-03 18:53,33.08,24.08,350.00,9.00,0.00,M
CMI,2016-01-03 19:53,32.00,24.98,330.00,10.00,0.00,M
CMI,2016-01-03 20:53,32.00,24.08,340.00,13.00,0.00,M
CMI,2016-01-03 21:53,30.92,24.08,340.00,11.00,0.00,M
CMI,2016-01-03 22:53,30.02,23.00,320.00,16.00,0.00,M
CMI,2016-01-03 23:53,28.94,21.92,340.00,10.00,0.00,M
CMI,2016-01-04 00:53,28.94,21.02,350.00,10.00,0.00,M
CMI,2016-01-04 01:53,28.94,21.92,330.00,12.00,0.00,M
CMI,2016-01-04 02:30,28.94,21.92,330.00,9.00,0.00,M
CMI,2016-01-04 02:53,28.94,21.92,320.00,12.00,0.00,M
CMI,2016-01-04 03:01,28.94,21.92,320.00,11.00,0.00,M
CMI,2016-01-04 03:18,28.94,21.92,330.00,11.00,0.00,M
CMI,2016-01-04 03:53,28.94,21.92,330.00,12.00,0.00,M
CMI,2016-01-04 04:53,28.94,19.94,330.00,13.00,0.00,M
CMI,2016-01-04 05:53,28.04,21.02,330.00,10.00,0.00,M
CMI,2016-01-04 06:53,28.04,17.96,350.00,14.00,0.00,M
CMI,2016-01-04 07:30,28.04,17.96,340.00,9.00,0.00,M
CMI,2016-01-04 07:53,28.04,17.96,340.00,7.00,0.00,M
CMI,2016-01-04 08:53,28.04,17.96,330.00,12.00,0.00,M
CMI,2016-01-04 09:53,26.96,15.98,340.00,10.00,0.00,M
CMI,2016-01-04 10:53,24.98,19.04,320.00,9.00,0.00,M
CMI,2016-01-04 11:53,23.00,17.96,320.00,7.00,0.00,M
CMI,2016-01-04 12:53,21.92,17.96,300.00,7.00,0.00,M
